,0
432,2.960608
433,3.4816399
434,2.6824217
435,2.151859
436,1.7844827
437,1.517733
438,1.3111689
439,1.1763353
440,1.1143849
441,1.0191883
442,2.7020607
443,2.2386818
444,3.0321722
445,2.4870987
446,2.0286508
447,1.7029103
448,1.4613407
449,1.2770494
450,1.2833718
451,2.737586
452,2.2126224
453,1.8437816
454,1.8977177
455,4.037012
456,3.1018236
457,2.4730692
458,2.0385
459,1.7252803
460,2.2009733
461,11.241428
462,11.723304
463,9.1001215
464,6.8774786
465,5.1126695
466,3.8317335
467,2.9527946
468,2.3982794
469,2.0225053
470,1.7532834
471,1.5378764
472,1.3447015
473,1.4525037
474,2.921502
475,5.0438185
476,3.8618217
477,3.5333786
478,8.550092
479,8.913078
480,6.700169
481,5.561667
482,4.738003
483,5.5512958
484,4.4900646
485,3.4556398
486,2.7950592
487,7.4686813
488,5.674761
489,4.3681703
490,3.3352907
491,3.9381173
492,3.804244
493,3.0845852
494,2.7209418
495,2.2859156
496,5.4821672
497,9.476461
498,6.6622543
499,4.764217
500,3.4653296
501,2.8155603
502,2.3487835
503,11.482099
504,13.080254
505,9.792255
506,10.569761
507,8.347172
508,6.1296654
509,4.880164
510,3.8555033
511,3.201985
512,3.5402665
513,2.797791
514,3.487258
515,3.0146396
516,2.394599
517,2.0092845
518,1.7368698
519,1.5013871
520,1.3044294
521,1.2245159
522,1.4059529
523,1.2487549
524,1.1192741
525,2.0723567
526,1.7413524
527,1.4989884
528,1.3870684
529,2.4210265
530,3.8926315
531,2.9711342
532,2.5588517
533,2.227414
534,2.6592646
535,2.266247
536,1.8311749
537,11.780188
538,8.150287
539,5.803428
540,4.399483
541,4.2620254
542,3.3539839
543,10.046569
544,9.66762
545,8.705012
546,31.037205
547,34.82925
548,27.033745
549,15.87549
550,9.618572
551,6.809141
552,5.071298
553,3.807966
554,2.8130822
555,2.4466953
556,2.1749206
557,3.9443574
558,4.240151
559,4.813811
560,3.4439173
561,2.5060096
562,2.0908992
563,1.6469376
564,1.3343132
565,1.1048
566,1.035907
567,1.1135736
568,1.2782791
569,1.7732818
570,1.5537176
571,1.3963746
572,1.1593815
573,1.0637671
574,1.6298592
575,1.7729824
576,2.3972871
577,4.0661006
578,12.8460245
579,10.188234
580,6.700635
581,4.1558475
582,2.6476374
583,1.7635252
584,1.2896138
585,0.9490618
586,1.0169296
587,0.88019127
588,0.7061459
589,0.62319285
590,0.52077484
591,0.4581839
592,0.4023639
593,0.3545108
594,0.3267709
595,0.30417755
596,0.2794467
597,0.2525438
598,0.22807297
599,0.21452542
600,0.19503607
601,0.18698132
602,0.17888422
603,0.1589148
604,0.15619466
605,0.2515508
606,0.44088134
607,0.60722387
608,0.5210582
609,0.80005896
610,0.6191974
611,0.48779237
612,0.41500843
613,0.35185555
614,0.30126044
615,0.27323154
616,0.37782505
617,0.34622604
618,0.4458679
619,0.5349667
620,1.3281453
621,1.0357014
622,0.86320245
623,0.88443804
624,0.62097704
625,0.47035226
626,0.37913418
627,0.31870678
628,0.3778934
629,0.31295553
630,0.58579475
631,0.5860528
632,0.7466794
633,0.59200144
634,0.4824813
635,0.4168448
636,0.3538711
637,0.30608588
638,0.39530236
639,0.3466807
640,0.3672527
641,0.47069815
642,0.39834484
643,0.3598801
644,0.3115068
645,0.28949773
646,0.2581355
647,0.23108113
